epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4803.3,1.13489,0.84702,0.00679,0.89902,0.83404,0.90053,0.70379,0.81879,0.60961,0.01045,0.000703961,0.000703961,0.000703961
43,4956.8,1.12356,0.82022,0.00653,0.90372,0.82427,0.8969,0.70066,0.82349,0.63774,0.01072,0.000686277,0.000686277,0.000686277
44,5112.41,1.13553,0.82599,0.00655,0.91341,0.83803,0.90572,0.71056,0.80211,0.59724,0.01022,0.000668593,0.000668593,0.000668593
45,5267.29,1.11906,0.80562,0.00648,0.91118,0.83768,0.90348,0.70783,0.80359,0.60723,0.01015,0.000650909,0.000650909,0.000650909
46,5419.6,1.10462,0.80433,0.0064,0.89655,0.83104,0.89501,0.70264,0.80604,0.59452,0.01032,0.000633226,0.000633226,0.000633226
47,5566,1.10166,0.78376,0.00645,0.90759,0.82698,0.90357,0.70614,0.79137,0.6134,0.00993,0.000615542,0.000615542,0.000615542
48,5713.3,1.10668,0.80327,0.00646,0.90992,0.83466,0.9071,0.71483,0.7856,0.59577,0.00993,0.000597858,0.000597858,0.000597858
49,5858.52,1.09908,0.78238,0.00636,0.91329,0.83915,0.90971,0.71594,0.78413,0.58577,0.00976,0.000580174,0.000580174,0.000580174
50,6001.37,1.09842,0.7728,0.00616,0.91552,0.85032,0.91278,0.72141,0.78309,0.5622,0.00984,0.00056249,0.00056249,0.00056249
51,6145.61,1.08531,0.77773,0.00629,0.91789,0.84719,0.9151,0.72226,0.77587,0.56219,0.00968,0.000544806,0.000544806,0.000544806
52,6260.01,1.09166,0.77046,0.00614,0.91977,0.84108,0.91467,0.72297,0.77887,0.5705,0.00982,0.000527122,0.000527122,0.000527122
53,6374.8,1.08182,0.75683,0.00625,0.91624,0.84439,0.91438,0.72636,0.76602,0.56316,0.00945,0.000509438,0.000509438,0.000509438
54,6490.56,1.07124,0.74716,0.00606,0.91461,0.84473,0.91565,0.7275,0.76307,0.56897,0.0094,0.000491755,0.000491755,0.000491755
55,6606.31,1.07594,0.74751,0.00607,0.9139,0.84457,0.91242,0.72374,0.76617,0.57359,0.00946,0.000474071,0.000474071,0.000474071
56,6722.45,1.06724,0.74933,0.00602,0.91943,0.84018,0.91207,0.72635,0.7676,0.5695,0.00951,0.000456387,0.000456387,0.000456387
57,6838.43,1.07243,0.74312,0.00611,0.91731,0.8432,0.91414,0.72863,0.75849,0.55435,0.00931,0.000438703,0.000438703,0.000438703
58,6953.3,1.0579,0.73947,0.00603,0.90821,0.84398,0.91328,0.72954,0.7579,0.5575,0.00926,0.000421019,0.000421019,0.000421019
59,7066.92,1.04575,0.72165,0.00587,0.91944,0.846,0.91487,0.73022,0.75613,0.55259,0.0093,0.000403335,0.000403335,0.000403335
60,7205.55,1.05641,0.71913,0.00585,0.91535,0.85019,0.91298,0.73357,0.74721,0.55479,0.00912,0.000385651,0.000385651,0.000385651
61,7355.12,1.04469,0.70875,0.00589,0.91544,0.85544,0.91774,0.73486,0.75279,0.55106,0.00916,0.000367967,0.000367967,0.000367967
62,7505.09,1.04685,0.71096,0.00591,0.92178,0.85048,0.91461,0.73346,0.75234,0.5374,0.00912,0.000350284,0.000350284,0.000350284
63,7652.6,1.04452,0.71545,0.00597,0.92871,0.8464,0.91597,0.73418,0.75163,0.54286,0.00919,0.0003326,0.0003326,0.0003326
64,7781.79,1.03543,0.70991,0.00582,0.93233,0.8516,0.91827,0.73592,0.74696,0.53337,0.00911,0.000314916,0.000314916,0.000314916
65,7910.07,1.02638,0.68665,0.00575,0.92462,0.86648,0.92084,0.73941,0.74282,0.52874,0.00896,0.000297232,0.000297232,0.000297232
66,8036.49,1.02031,0.68072,0.00562,0.92397,0.85307,0.92033,0.74144,0.74295,0.53333,0.00905,0.000279548,0.000279548,0.000279548
67,8159.74,1.02903,0.6912,0.00562,0.92037,0.85557,0.91806,0.73917,0.74063,0.54418,0.00887,0.000261864,0.000261864,0.000261864
68,8279.85,1.01695,0.6792,0.00548,0.92946,0.84402,0.91885,0.7391,0.74223,0.54218,0.00887,0.00024418,0.00024418,0.00024418
69,8409.65,1.01728,0.68607,0.00566,0.92982,0.85142,0.91807,0.74042,0.73444,0.54433,0.00878,0.000226497,0.000226497,0.000226497
70,8538.78,0.99841,0.6678,0.00557,0.91874,0.85926,0.91844,0.74167,0.73775,0.53909,0.00885,0.000208813,0.000208813,0.000208813
71,9949.12,0.9101,0.52207,0.00583,0.91696,0.85518,0.91867,0.73919,0.73862,0.5382,0.00879,0.000191129,0.000191129,0.000191129
72,10072.4,0.9101,0.50751,0.0057,0.92093,0.85776,0.919,0.73915,0.7393,0.54092,0.00883,0.000173445,0.000173445,0.000173445
73,10188.4,0.89859,0.50195,0.00546,0.90805,0.86641,0.91891,0.73974,0.73472,0.5416,0.00872,0.000155761,0.000155761,0.000155761
74,10302.6,0.88914,0.49772,0.00553,0.93546,0.85479,0.91943,0.7423,0.73068,0.54139,0.00858,0.000138077,0.000138077,0.000138077
75,10416.8,0.88263,0.48415,0.00546,0.92914,0.85196,0.91865,0.74138,0.73165,0.54436,0.00864,0.000120393,0.000120393,0.000120393
76,10534.6,0.88083,0.47927,0.00545,0.92711,0.8547,0.91789,0.74011,0.73241,0.5461,0.00865,0.000102709,0.000102709,0.000102709
77,10666.9,0.87699,0.48747,0.00544,0.92777,0.85902,0.9189,0.74106,0.73331,0.53891,0.00867,8.50255e-05,8.50255e-05,8.50255e-05
78,10836.6,0.87691,0.47908,0.0054,0.9254,0.8579,0.91883,0.74256,0.72806,0.54489,0.00854,6.73416e-05,6.73416e-05,6.73416e-05
79,11001.1,0.8738,0.48204,0.00525,0.92532,0.86267,0.91886,0.743,0.72393,0.54594,0.0085,4.96578e-05,4.96578e-05,4.96578e-05
80,11144.2,0.86419,0.4771,0.00516,0.91943,0.86885,0.91949,0.74403,0.7235,0.54412,0.00847,3.19739e-05,3.19739e-05,3.19739e-05
